fragment_id,mesh_file,texture_file,photo_dir,scan_quality,vertex_count,known_mass_kg,notes
FRAG-S1-FS-001,01_input/meshes/processed/FRAG-S1-FS-001/FRAG-S1-FS-001.glb,01_input/meshes/processed/FRAG-S1-FS-001/FRAG-S1-FS-001_texture.png,,,,,"geometry only. Digitised in an earlier campaign; the retained raw export is a Rhino OBJ with 20,857 sparse faces and no material, so it cannot be remeshed or re-baked. Existing 5.65M-face record and 1080 atlas (0.20 px/mm) are valid and kept; excluded from all texture-based claims. 2026-08-24"
FRAG-S1-FS-002,01_input/meshes/processed/FRAG-S1-FS-002/FRAG-S1-FS-002.glb,01_input/meshes/processed/FRAG-S1-FS-002/FRAG-S1-FS-002_texture.png,,,,,id reassigned 2026-08-20 to a larger piece (1630x934x706 mm); the July piece that held this id was a workflow test and has been removed; awaiting re-run at 4096
FRAG-S1-FS-003,01_input/meshes/processed/FRAG-S1-FS-003/FRAG-S1-FS-003.glb,01_input/meshes/processed/FRAG-S1-FS-003/FRAG-S1-FS-003_texture.png,,,,,cleared 2026-08-20; awaiting new scan and 4096 bake
FRAG-S1-FS-004,01_input/meshes/processed/FRAG-S1-FS-004/FRAG-S1-FS-004.glb,01_input/meshes/processed/FRAG-S1-FS-004/FRAG-S1-FS-004_texture.png,,,,,cleared 2026-08-20; awaiting new scan and 4096 bake
FRAG-S1-FS-005,01_input/meshes/processed/FRAG-S1-FS-005/FRAG-S1-FS-005.glb,01_input/meshes/processed/FRAG-S1-FS-005/FRAG-S1-FS-005_texture.png,,,,,cleared 2026-08-20; awaiting new scan and 4096 bake
FRAG-S1-FS-006,01_input/meshes/processed/FRAG-S1-FS-006/FRAG-S1-FS-006.glb,01_input/meshes/processed/FRAG-S1-FS-006/FRAG-S1-FS-006_texture.png,,,,,cleared 2026-08-20; awaiting new scan and 4096 bake
